Model,Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Decision Tree,0.5000000000000001,0.98865,0.13008130081300814,0.7111111111111111,0.21993127147766323,0.8821526211754225
Random Forest,0.7500000000000002,0.9979,0.6,0.2,0.3,0.9779225479551212
XGBoost,0.8000000000000002,0.99715,0.38461538461538464,0.4444444444444444,0.41237113402061853,0.9687886633814973
LightGBM,0.8000000000000002,0.99685,0.3392857142857143,0.4222222222222222,0.37623762376237624,0.9716712603357556
Logistic Regression,0.5000000000000001,0.8492,0.014383785550833606,0.9777777777777777,0.028350515463917526,0.9727208441214956
