Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Decision Tree,0.98465,0.04827586206896552,0.3111111111111111,0.08358208955223881,0.8206876583423814
Random Forest,0.9939,0.18181818181818182,0.4888888888888889,0.26506024096385544,0.9736735432500905
XGBoost,0.993,0.1724137931034483,0.5555555555555556,0.2631578947368421,0.9700843564687212
LightGBM,0.9948,0.23423423423423423,0.5777777777777777,0.3333333333333333,0.9546796959826276
Logistic Regression,0.85525,0.014645776566757493,0.9555555555555556,0.02884937940288494,0.9676416381302375
