Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Decision Tree,0.9833124530192934,0.9863835796056282,0.980155349536457,0.98325960184999,0.9943753236814906
Random Forest,0.9989977449260837,0.9983983182341458,0.9995990979704334,0.9989983472730004,0.9999943332784407
XGBoost,0.9989476321723879,0.9983981578815638,0.9994988724630418,0.9989482119603326,0.9999927775354733
LightGBM,0.9978451515910799,0.9963527354484137,0.9993485342019544,0.9978483862897173,0.999935053067598
Logistic Regression,0.9042094713104485,0.8987936319588649,0.9109997494362315,0.9048555287324855,0.9528118773378915
