Model,V1_F1_Score,V3_F1_Score,V3_Precision,V3_Recall,V3_ROC_AUC,V3_Threshold,Improvement_V1_to_V3
Decision Tree,0.98325960184999,0.2199312714776632,0.1300813008130081,0.7111111111111111,0.8821526211754225,0.5000000000000001,-0.7633283303723267
Random Forest,0.9989983472730004,0.3,0.6,0.2,0.9779225479551212,0.7500000000000002,-0.6989983472730004
XGBoost,0.9989482119603326,0.4123711340206185,0.3846153846153846,0.4444444444444444,0.9687886633814972,0.8000000000000002,-0.5865770779397141
LightGBM,0.9978483862897172,0.3762376237623762,0.3392857142857143,0.4222222222222222,0.9716712603357556,0.8000000000000002,-0.621610762527341
Logistic Regression,0.9048555287324856,0.0283505154639175,0.0143837855508336,0.9777777777777776,0.9727208441214956,0.5000000000000001,-0.8765050132685681
